0.48	0.08	-0.1	0.21	0.24	0.23	-0.12	-0.44	0.03	-0.43	-0.04	-0.22	-0.39	-0.01	0.21	-0.08	-0.01	0.45	-0.17	0.3	-0.41	
-0.45	0.46	0.09	-0.19	0.46	0.34	-0.03	0.13	0.29	0.22	0.43	0.11	-0.12	-0.22	-0.47	0.31	0.43	0.25	0.17	0.25	0.27	
0.24	0.45	-0.44	-0.35	0.47	0.01	0.22	-0.19	0.05	-0.05	-0.17	-0.1	0.13	0.3	0.49	0.33	0.38	-0.01	0.31	-0.29	-0.36	
0.09	0.49	-0.49	0.48	0.16	-0.16	0.08	0.24	0.3	-0.37	0.38	0.2	-0.16	-0.23	-0.42	-0.41	0.08	0.09	0.38	-0.44	-0.38	
0.45	0.01	0.07	0.27	-0.08	-0.31	-0.03	0.06	-0.18	0.2	-0.46	-0.11	0.13	-0.3	-0.11	0.46	0.01	-0.12	0.28	0.46	0.06	
-0.1	0.22	-0.15	0.01	-0.48	-0.41	-0.24	0.21	-0.1	0.47	0.21	-0.37	0.15	0.24	-0.16	-0.34	-0.15	-0.34	-0.03	-0.48	0.46	
0.01	-0.35	-0.33	-0.12	-0.13	-0.04	0.14	0.14	-0.03	-0.06	0.35	-0.14	0.41	0.18	0.15	0.27	-0.32	-0.2	0.28	0.01	-0.07	
0.29	-0.31	0.12	-0.23	0.19	-0.4	-0.45	-0.19	-0.23	-0.32	-0.21	0.33	0.21	0.2	-0.01	0	0.14	0.13	-0.22	-0.35	-0	
-0.1	-0.26	0.05	0.09	-0.09	0.09	-0.43	0.04	0.27	-0.48	0.12	0.21	-0.38	-0.33	-0.47	0.22	-0.34	-0.05	-0.42	0.04	0.28	
-0.33	0.41	0.34	-0.38	-0.26	0.33	0.23	0.29	-0.01	-0.22	0.47	0.07	0.18	-0.11	-0.45	0.28	-0.36	0.36	0.47	0.39	0.08	
0.07	-0.41	-0.1	0.18	0.45	-0.45	-0.47	0.17	0.12	-0.05	0.01	-0.22	-0.26	0.13	-0.09	0.44	-0.39	0.19	-0.03	-0.05	-0.03	
0.1	0.19	-0.44	-0.29	-0.25	-0.11	0.15	0.46	0.01	-0.45	0.31	0.08	0.37	-0.34	-0.03	0.11	0.31	0.1	-0.34	-0.32	-0.03	
0.31	-0.31	0.49	0.38	-0.45	0.03	0.38	0.16	0.34	-0.43	0.19	-0.11	0.13	-0.33	0.44	-0.19	-0.39	-0.11	-0.12	-0.12	-0.16	
0.48	0.31	-0.45	0.12	-0.23	0.15	0.39	-0.25	0.29	-0.45	-0.45	-0.32	-0.43	0.31	-0.21	0.39	-0.14	-0.03	-0.09	-0.23	0.13	
-0.15	-0.17	-0.37	-0.45	0.3	-0.38	-0.2	-0.05	-0	0.15	-0.38	-0.47	0.2	0.32	0.16	-0.14	0.25	-0.21	0.06	0.48	-0.37	
-0.49	0.29	-0.04	0.34	0.29	0.25	0.31	-0.24	0.36	-0.46	0.48	0.41	-0.07	0.37	0.16	-0.37	0.36	0.46	0.29	0.39	0.06	
-0.43	0.31	0.3	-0.35	-0.37	-0.1	0.07	0.26	-0	0.35	-0.24	0.34	-0.26	-0.37	-0.48	-0.14	-0.41	-0.41	-0.23	0.13	0.41	
-0.03	-0.18	-0.09	-0.26	-0.36	-0.46	0.42	0.02	0.45	-0.3	-0.42	0.36	0.16	0.14	0.21	-0.06	0.07	-0.07	-0.13	-0.19	-0.16	
0.48	-0.29	0.25	-0.12	-0.43	-0.43	0.29	-0.38	-0.42	-0.26	-0.47	0.25	0.09	0.06	-0.03	0.2	-0.15	-0.41	-0.37	0.06	-0.17	
-0.45	-0.33	-0.16	-0.29	0.32	-0.48	-0.22	0.18	-0.12	-0.4	-0	0.11	0.25	0.35	-0.4	0.39	-0.32	0.35	0.02	0.27	0.08	
-0.13	0.4	-0.15	0.16	0.08	0.07	0.49	0.16	0.09	0.41	-0.28	-0.29	-0.17	0.24	-0.04	-0.38	0.32	0.38	0.29	-0.41	0.18	
-0.32	0.2	0.11	-0.37	-0.16	0.26	0.22	0.4	-0.28	-0.33	0.3	-0.24	0.23	-0.46	-0.13	0.36	0.09	-0.27	0.4	0.22	0.12	
0.36	-0.37	0.43	0.33	0.25	-0.4	-0.21	-0.01	0.17	-0.14	0.07	-0.48	-0.46	0.35	0.44	-0.4	0.31	-0.02	-0.35	-0.05	0.42	
0.14	0.14	-0.32	0.2	0.17	-0.43	0.09	-0.04	0.16	-0.41	-0.17	-0.16	-0.38	-0.03	-0.25	-0.28	-0.16	0.14	-0.27	-0.35	-0.17	
0.38	-0.34	-0.37	-0.2	-0.22	0.14	0.24	0.16	0.25	0.09	0.02	0.24	0.37	-0.01	0.29	-0.48	0.39	-0.09	-0.19	-0.4	-0.08	
0.26	-0.41	-0.04	0.25	0.11	0.4	-0.05	0.43	0.28	-0.11	-0.08	-0.21	-0.17	0.02	0.4	-0.1	-0.38	-0.4	0	0.39	-0.16	
-0.01	0.24	0.47	0.33	-0.02	-0.09	-0.45	-0.17	0.11	-0.03	0.04	-0.49	0.47	-0.11	0.4	0.17	0.09	0.2	-0.27	-0.05	-0.26	
-0.42	-0.3	0.29	-0.22	-0.29	0.28	0.45	-0.47	0.3	0.48	0.46	-0.46	0.09	-0.11	-0.27	0.28	0.14	0.28	-0.12	0.38	-0.1	
0.02	-0.49	-0.34	0.02	0.09	0.01	-0.02	0.27	-0.21	-0.33	-0.42	0.19	-0.24	-0.29	-0.16	0.02	-0.43	0.18	-0.12	-0.09	0.44	
-0.09	-0.47	0.28	-0.48	0.35	-0.23	-0.41	-0.41	-0.23	0.44	-0.44	-0.22	-0.14	-0.38	-0.47	0.05	0.31	0.2	0.23	0.05	-0.3	
